CustomerID,CustomerName,Gender,Age,City,JoinDate,PlanType,MonthlyCharges,TotalCharges,TenureMonths,InternetService,ContractType,PaymentMethod,SupportTickets,ChurnStatus,,Blank check
C100002,Vikram Sen,Female,32,Mumbai,18-08-2025,Postpaid,1322.43,85957.95,65,Fiber,Monthly,Cash,5,No,,FALSE
C100003,Ananya Das,Male,27,Bangalore,19-02-2025,Postpaid,1926.26,53935.28,28,5G,2 Year,Bank Transfer,12,Yes,,FALSE
C100004,Sourav Das,Female,64,Hyderabad,13-11-2025,Postpaid,1210.59,71424.81,59,DSL,2 Year,UPI,0,Yes,,FALSE
C100005,Sneha Das,Female,67,Delhi,21-08-2025,Postpaid,1973.88,75007.44,38,DSL,1 Year,Bank Transfer,3,No,,FALSE
C100006,Amit Dey,Male,62,Mumbai,25-08-2025,Postpaid,1334.52,13345.2,10,5G,2 Year,Card,10,No,,FALSE
C100008,Vikram Dey,Female,27,Hyderabad,27-10-2025,Postpaid,536.37,18236.58,34,None,1 Year,Card,2,No,,FALSE
C100010,Priya Dey,Female,53,Hyderabad,24-06-2025,Prepaid,1455.48,2910.96,2,5G,1 Year,Card,7,Yes,,FALSE
C100011,Amit Dey,Male,64,Hyderabad,02-06-2025,Prepaid,1951.21,66341.14,34,DSL,1 Year,Card,8,Yes,,FALSE
C100012,Priya Ghosh,Female,56,Mumbai,30-01-2025,Prepaid,1129.63,47444.46,42,Fiber,Monthly,Cash,1,Yes,,FALSE
C100013,Amit Singh,Female,26,Mumbai,04-10-2025,Prepaid,1908.64,116427.04,61,5G,1 Year,Bank Transfer,7,No,,FALSE
C100014,Ananya Sharma,Male,25,Chennai,23-04-2025,Prepaid,680.99,21791.68,32,Fiber,2 Year,UPI,3,Yes,,FALSE
C100015,Priya Dey,Male,75,Delhi,09-12-2025,Postpaid,1760.38,8801.9,5,DSL,2 Year,,11,No,,FALSE
C100016,Sneha Das,Male,33,Hyderabad,09-08-2025,Postpaid,1671.74,101976.14,61,None,1 Year,Cash,11,Yes,,FALSE
C100017,Ananya Das,Male,61,Mumbai,08-04-2025,Postpaid,402.04,5226.52,13,DSL,1 Year,Card,4,No,,FALSE
C100018,Vikram Das,Male,33,Hyderabad,04-10-2025,Prepaid,1052.32,10523.2,10,Fiber,Monthly,Card,6,No,,FALSE
C100019,Rahul Roy,Female,48,Kolkata,19-07-2025,Postpaid,1768.91,49529.48,28,None,1 Year,Cash,11,No,,FALSE
C100020,Rahul Paul,Male,27,Hyderabad,10-06-2025,Prepaid,803.4,20085,25,Fiber,2 Year,Cash,8,Yes,,FALSE
C100021,Amit Das,Male,21,Hyderabad,01-05-2025,Postpaid,435.19,28722.54,66,Fiber,2 Year,Card,9,Yes,,FALSE
C100022,Neha Paul,Female,57,Delhi,15-04-2025,Postpaid,1011.68,11128.48,11,DSL,1 Year,,2,No,,FALSE
C100023,Priya Sharma,Female,47,Chennai,16-10-2025,Prepaid,1878.33,77011.53,41,Fiber,2 Year,Card,8,No,,FALSE
C100024,Sneha Ghosh,Female,26,,13-08-2025,Postpaid,1796.47,80841.15,45,Fiber,2 Year,Bank Transfer,10,Yes,,FALSE
C100025,Priya Dey,Male,74,Delhi,25-05-2025,Prepaid,748.59,13474.62,18,5G,Monthly,Bank Transfer,8,No,,FALSE
C100026,Sourav Singh,Male,34,Kolkata,20-06-2025,Prepaid,455.91,3191.37,7,5G,Monthly,Cashh,,No,,FALSE
C100027,Amit Dey,Male,53,Delhi,26-10-2025,Prepaid,489.19,978.38,2,None,Monthly,UPI,4,No,,FALSE
C100028,Sneha Sen,Male,75,Delhi,14-10-2025,Postpaid,1827.17,10963.02,6,DSL,Monthly,Card,12,Yes,,FALSE
C100029,Ananya Kapoor,Male,74,Delhi,23-03-2025,Prepaid,341.14,18080.42,53,None,Monthly,Cash,3,Yes,,FALSE
C100030,Sneha Sen,Male,70,,09-04-2025,Postpaid,893.42,52711.78,59,5G,1 Year,UPI,12,No,,FALSE
C100031,Vikram Ghosh,Male,40,Kolkata,14-05-2025,Prepaid,978.45,64577.7,66,5G,Monthly,UPI,9,No,,FALSE
C100032,Vikram Das,Female,40,Chennai,08-04-2025,Postpaid,1040.87,42675.67,41,Fiber,2 Year,,0,Yes,,FALSE
C100033,Ananya Paul,Female,41,Hyderabad,05-03-2025,Postpaid,417.96,23405.76,56,5G,2 Year,Cash,5,No,,FALSE
C100034,Sneha Kapoor,Female,62,Hyderabad,31-03-2025,Postpaid,1241.5,47177,38,None,2 Year,UPI,4,No,,FALSE
C100035,Neha Ghosh,Female,31,Bangalore,15-08-2025,Prepaid,1634.79,91548.24,56,None,2 Year,Card,10,Yes,,FALSE
C100036,Neha Ghosh,Male,36,Mumbai,11-12-2025,Postpaid,,94218.3,66,DSL,Monthly,Card,0,Yes,,FALSE
C100037,Priya Gupta,Female,33,Hyderabad,22-10-2025,Prepaid,1338.17,81628.37,61,None,1 Year,Cash,3,Yes,,FALSE
C100038,Priya Kapoor,Male,59,Mumbai,23-12-2025,Postpaid,1816.52,1816.52,1,Fiber,2 Year,Card,1,No,,FALSE
C100039,Vikram Paul,Female,26,Bangalore,10-11-2025,Postpaid,1433.88,86032.8,60,None,Monthly,Cash,7,No,,FALSE
C100040,Rohit Dey,Female,66,Hyderabad,03-05-2025,Postpaid,1726.77,55256.64,32,None,Monthly,Bank Transfer,3,No,,FALSE
C100041,Priya Roy,Male,39,Mumbai,16-07-2025,Prepaid,1817.15,74503.15,41,DSL,Monthly,Cash,6,No,,FALSE
C100042,Sneha Kapoor,Female,52,Chennai,23-12-2025,Prepaid,1005.82,60349.2,60,None,1 Year,UPI,5,No,,FALSE
C100043,Sourav Dey,Male,66,Bangalore,23-04-2025,Postpaid,1749.86,87493,50,None,1 Year,UPI,6,No,,FALSE
C100044,Riya Roy,Male,60,Bangalore,31-10-2025,Prepaid,1530.11,79565.72,52,Fiber,2 Year,Cash,2,No,,FALSE
